report_file,line_number,code,x,y,message,context
reports\dh_auto_span_cases.drc.rpt,21,DH,540.000,260.000,"Duplicate Drill Hole,(540.000 260.000),ALL,FALSE,TRUE,NONE,DESIGN,Via ""Dh_Span_Thru  (540.000 260.000) (Net_A)"",Via ""Dh_Span_Thru  (540.000 260.000) (Net_A)""","Blind/Buried Via to Route Keepin Spacing,(148.087 90.753),INNER1,0 MM,445.078 MM,DEFAULT,NET SPACING CONSTRAINTS,Shape ""Route Keepin/All"",Via ""Dh_Span_Inner1_Bottom  (560.000 260.000) (Net_A)"" | Blind/Buried Via to Route Keepin Spacing,(148.087 90.753),TOP,0 MM,445.078 MM,DEFAULT,NET SPACING CONSTRAINTS,Shape ""Route Keepin/All"",Via ""Dh_Span_Top_Inner1  (560.000 260.000) (Net_A)"" | Duplicate Drill Hole,(540.000 260.000),ALL,FALSE,TRUE,NONE,DESIGN,Via ""Dh_Span_Thru  (540.000 260.000) (Net_A)"",Via ""Dh_Span_Thru  (540.000 260.000) (Net_A)"" | Duplicate Drill Hole,(545.000 260.000),ALL,FALSE,TRUE,NONE,DESIGN,Via ""Dh_Span_Top_Gnd  (545.000 260.000) (Net_A)"",Via ""Dh_Span_Top_Gnd  (545.000 260.000) (Net_A)"" | Duplicate Drill Hole,(550.000 260.000),ALL,FALSE,TRUE,NONE,DESIGN,Via ""Dh_Span_Thru  (550.000 260.000) (Net_A)"",Via ""Dh_Span_Top_Gnd  (550.000 260.000) (Net_A)"""
reports\dh_auto_span_cases.drc.rpt,22,DH,545.000,260.000,"Duplicate Drill Hole,(545.000 260.000),ALL,FALSE,TRUE,NONE,DESIGN,Via ""Dh_Span_Top_Gnd  (545.000 260.000) (Net_A)"",Via ""Dh_Span_Top_Gnd  (545.000 260.000) (Net_A)""","Blind/Buried Via to Route Keepin Spacing,(148.087 90.753),TOP,0 MM,445.078 MM,DEFAULT,NET SPACING CONSTRAINTS,Shape ""Route Keepin/All"",Via ""Dh_Span_Top_Inner1  (560.000 260.000) (Net_A)"" | Duplicate Drill Hole,(540.000 260.000),ALL,FALSE,TRUE,NONE,DESIGN,Via ""Dh_Span_Thru  (540.000 260.000) (Net_A)"",Via ""Dh_Span_Thru  (540.000 260.000) (Net_A)"" | Duplicate Drill Hole,(545.000 260.000),ALL,FALSE,TRUE,NONE,DESIGN,Via ""Dh_Span_Top_Gnd  (545.000 260.000) (Net_A)"",Via ""Dh_Span_Top_Gnd  (545.000 260.000) (Net_A)"" | Duplicate Drill Hole,(550.000 260.000),ALL,FALSE,TRUE,NONE,DESIGN,Via ""Dh_Span_Thru  (550.000 260.000) (Net_A)"",Via ""Dh_Span_Top_Gnd  (550.000 260.000) (Net_A)"" | Duplicate Drill Hole,(555.000 260.000),ALL,FALSE,TRUE,NONE,DESIGN,Via ""Dh_Span_Top_Gnd  (555.000 260.000) (Net_A)"",Via ""Dh_Span_Top_Inner1  (555.000 260.000) (Net_A)"""
reports\dh_auto_span_cases.drc.rpt,23,DH,550.000,260.000,"Duplicate Drill Hole,(550.000 260.000),ALL,FALSE,TRUE,NONE,DESIGN,Via ""Dh_Span_Thru  (550.000 260.000) (Net_A)"",Via ""Dh_Span_Top_Gnd  (550.000 260.000) (Net_A)""","Duplicate Drill Hole,(540.000 260.000),ALL,FALSE,TRUE,NONE,DESIGN,Via ""Dh_Span_Thru  (540.000 260.000) (Net_A)"",Via ""Dh_Span_Thru  (540.000 260.000) (Net_A)"" | Duplicate Drill Hole,(545.000 260.000),ALL,FALSE,TRUE,NONE,DESIGN,Via ""Dh_Span_Top_Gnd  (545.000 260.000) (Net_A)"",Via ""Dh_Span_Top_Gnd  (545.000 260.000) (Net_A)"" | Duplicate Drill Hole,(550.000 260.000),ALL,FALSE,TRUE,NONE,DESIGN,Via ""Dh_Span_Thru  (550.000 260.000) (Net_A)"",Via ""Dh_Span_Top_Gnd  (550.000 260.000) (Net_A)"" | Duplicate Drill Hole,(555.000 260.000),ALL,FALSE,TRUE,NONE,DESIGN,Via ""Dh_Span_Top_Gnd  (555.000 260.000) (Net_A)"",Via ""Dh_Span_Top_Inner1  (555.000 260.000) (Net_A)"" | Minimum Blind/Buried Via Stagger Distance,(555.000 260.000),TOP,0.127 MM,0 MM,DEFAULT,PHYSICAL CONSTRAINTS,Via ""Dh_Span_Top_Gnd  (555.000 260.000) (Net_A)"",Via ""Dh_Span_Top_Inner1  (555.000 260.000) (Net_A)"""
reports\dh_auto_span_cases.drc.rpt,24,DH,555.000,260.000,"Duplicate Drill Hole,(555.000 260.000),ALL,FALSE,TRUE,NONE,DESIGN,Via ""Dh_Span_Top_Gnd  (555.000 260.000) (Net_A)"",Via ""Dh_Span_Top_Inner1  (555.000 260.000) (Net_A)""","Duplicate Drill Hole,(545.000 260.000),ALL,FALSE,TRUE,NONE,DESIGN,Via ""Dh_Span_Top_Gnd  (545.000 260.000) (Net_A)"",Via ""Dh_Span_Top_Gnd  (545.000 260.000) (Net_A)"" | Duplicate Drill Hole,(550.000 260.000),ALL,FALSE,TRUE,NONE,DESIGN,Via ""Dh_Span_Thru  (550.000 260.000) (Net_A)"",Via ""Dh_Span_Top_Gnd  (550.000 260.000) (Net_A)"" | Duplicate Drill Hole,(555.000 260.000),ALL,FALSE,TRUE,NONE,DESIGN,Via ""Dh_Span_Top_Gnd  (555.000 260.000) (Net_A)"",Via ""Dh_Span_Top_Inner1  (555.000 260.000) (Net_A)"" | Minimum Blind/Buried Via Stagger Distance,(555.000 260.000),TOP,0.127 MM,0 MM,DEFAULT,PHYSICAL CONSTRAINTS,Via ""Dh_Span_Top_Gnd  (555.000 260.000) (Net_A)"",Via ""Dh_Span_Top_Inner1  (555.000 260.000) (Net_A)"" | Minimum Blind/Buried Via Stagger Distance,(560.000 260.000),INNER1,0.127 MM,0 MM,DEFAULT,PHYSICAL CONSTRAINTS,Via ""Dh_Span_Inner1_Bottom  (560.000 260.000) (Net_A)"",Via ""Dh_Span_Top_Inner1  (560.000 260.000) (Net_A)"""
