report_file,constraint_name,marker_location,drc_subclass,required_value,actual_value,constraint_source,constraint_source_type,element_1,element_2
reports\dh_item_item_interaction.dh_only.drc.rpt,Duplicate Drill Hole,(150.000 240.000),ALL,FALSE,TRUE,NONE,DESIGN,"Via ""Dhii_Rnd_025_Pad055  (150.000 240.000) (Dhii_A)""","Via ""Dhii_Rnd_025_Pad055  (150.000 240.000) (Dhii_A)"""
reports\dh_item_item_interaction.dh_only.drc.rpt,Duplicate Drill Hole,(186.000 240.000),ALL,FALSE,TRUE,NONE,DESIGN,"Via ""Dhii_Rnd_025_Pad055  (186.000 240.000) (Dhii_A)""","Via ""Dhii_Rnd_025_Pad055  (186.000 240.000) (Dhii_B)"""
reports\dh_item_item_interaction.dh_only.drc.rpt,Duplicate Drill Hole,(222.000 240.000),ALL,FALSE,TRUE,NONE,DESIGN,"Via ""Dhii_Slot_025X075  (222.000 240.000) (Not On A Net)""","Via ""Dhii_Slot_025X075  (222.000 240.000) (Not On A Net)"""
reports\dh_item_item_interaction.dh_only.drc.rpt,Duplicate Drill Hole,(366.000 240.000),ALL,FALSE,TRUE,NONE,DESIGN,"Via ""Dhii_Rnd_025_Pad090  (366.000 240.000) (Dhii_A)""","Via ""Dhii_Rnd_025_Pad090  (366.000 240.000) (Dhii_A)"""
