report_file,line_number,code,x,y,message,context
reports\dh_item_item_interaction.dh_only_25_1.drc.rpt,13,DH,150.000,240.000,"Duplicate Drill Hole,(150.000 240.000),ALL,FALSE,TRUE,NONE,DESIGN,Via ""Dhii_Rnd_025_Pad055  (150.000 240.000) (Dhii_A)"",Via ""Dhii_Rnd_025_Pad055  (150.000 240.000) (Dhii_A)""","Detailed DRC Errors | Constraint Name,DRC Marker Location,DRC Subclass,Required Value,Actual Value,Constraint Source,Constraint Source Type,Element 1,Element 2 | Duplicate Drill Hole,(150.000 240.000),ALL,FALSE,TRUE,NONE,DESIGN,Via ""Dhii_Rnd_025_Pad055  (150.000 240.000) (Dhii_A)"",Via ""Dhii_Rnd_025_Pad055  (150.000 240.000) (Dhii_A)"" | Duplicate Drill Hole,(186.000 240.000),ALL,FALSE,TRUE,NONE,DESIGN,Via ""Dhii_Rnd_025_Pad055  (186.000 240.000) (Dhii_A)"",Via ""Dhii_Rnd_025_Pad055  (186.000 240.000) (Dhii_B)"" | Duplicate Drill Hole,(222.000 240.000),ALL,FALSE,TRUE,NONE,DESIGN,Via ""Dhii_Slot_025X075  (222.000 240.000) (Not On A Net)"",Via ""Dhii_Slot_025X075  (222.000 240.000) (Not On A Net)"""
reports\dh_item_item_interaction.dh_only_25_1.drc.rpt,14,DH,186.000,240.000,"Duplicate Drill Hole,(186.000 240.000),ALL,FALSE,TRUE,NONE,DESIGN,Via ""Dhii_Rnd_025_Pad055  (186.000 240.000) (Dhii_A)"",Via ""Dhii_Rnd_025_Pad055  (186.000 240.000) (Dhii_B)""","Constraint Name,DRC Marker Location,DRC Subclass,Required Value,Actual Value,Constraint Source,Constraint Source Type,Element 1,Element 2 | Duplicate Drill Hole,(150.000 240.000),ALL,FALSE,TRUE,NONE,DESIGN,Via ""Dhii_Rnd_025_Pad055  (150.000 240.000) (Dhii_A)"",Via ""Dhii_Rnd_025_Pad055  (150.000 240.000) (Dhii_A)"" | Duplicate Drill Hole,(186.000 240.000),ALL,FALSE,TRUE,NONE,DESIGN,Via ""Dhii_Rnd_025_Pad055  (186.000 240.000) (Dhii_A)"",Via ""Dhii_Rnd_025_Pad055  (186.000 240.000) (Dhii_B)"" | Duplicate Drill Hole,(222.000 240.000),ALL,FALSE,TRUE,NONE,DESIGN,Via ""Dhii_Slot_025X075  (222.000 240.000) (Not On A Net)"",Via ""Dhii_Slot_025X075  (222.000 240.000) (Not On A Net)"" | Duplicate Drill Hole,(366.000 240.000),ALL,FALSE,TRUE,NONE,DESIGN,Via ""Dhii_Rnd_025_Pad090  (366.000 240.000) (Dhii_A)"",Via ""Dhii_Rnd_025_Pad090  (366.000 240.000) (Dhii_A)"""
reports\dh_item_item_interaction.dh_only_25_1.drc.rpt,15,DH,222.000,240.000,"Duplicate Drill Hole,(222.000 240.000),ALL,FALSE,TRUE,NONE,DESIGN,Via ""Dhii_Slot_025X075  (222.000 240.000) (Not On A Net)"",Via ""Dhii_Slot_025X075  (222.000 240.000) (Not On A Net)""","Duplicate Drill Hole,(150.000 240.000),ALL,FALSE,TRUE,NONE,DESIGN,Via ""Dhii_Rnd_025_Pad055  (150.000 240.000) (Dhii_A)"",Via ""Dhii_Rnd_025_Pad055  (150.000 240.000) (Dhii_A)"" | Duplicate Drill Hole,(186.000 240.000),ALL,FALSE,TRUE,NONE,DESIGN,Via ""Dhii_Rnd_025_Pad055  (186.000 240.000) (Dhii_A)"",Via ""Dhii_Rnd_025_Pad055  (186.000 240.000) (Dhii_B)"" | Duplicate Drill Hole,(222.000 240.000),ALL,FALSE,TRUE,NONE,DESIGN,Via ""Dhii_Slot_025X075  (222.000 240.000) (Not On A Net)"",Via ""Dhii_Slot_025X075  (222.000 240.000) (Not On A Net)"" | Duplicate Drill Hole,(366.000 240.000),ALL,FALSE,TRUE,NONE,DESIGN,Via ""Dhii_Rnd_025_Pad090  (366.000 240.000) (Dhii_A)"",Via ""Dhii_Rnd_025_Pad090  (366.000 240.000) (Dhii_A)"""
reports\dh_item_item_interaction.dh_only_25_1.drc.rpt,16,DH,366.000,240.000,"Duplicate Drill Hole,(366.000 240.000),ALL,FALSE,TRUE,NONE,DESIGN,Via ""Dhii_Rnd_025_Pad090  (366.000 240.000) (Dhii_A)"",Via ""Dhii_Rnd_025_Pad090  (366.000 240.000) (Dhii_A)""","Duplicate Drill Hole,(186.000 240.000),ALL,FALSE,TRUE,NONE,DESIGN,Via ""Dhii_Rnd_025_Pad055  (186.000 240.000) (Dhii_A)"",Via ""Dhii_Rnd_025_Pad055  (186.000 240.000) (Dhii_B)"" | Duplicate Drill Hole,(222.000 240.000),ALL,FALSE,TRUE,NONE,DESIGN,Via ""Dhii_Slot_025X075  (222.000 240.000) (Not On A Net)"",Via ""Dhii_Slot_025X075  (222.000 240.000) (Not On A Net)"" | Duplicate Drill Hole,(366.000 240.000),ALL,FALSE,TRUE,NONE,DESIGN,Via ""Dhii_Rnd_025_Pad090  (366.000 240.000) (Dhii_A)"",Via ""Dhii_Rnd_025_Pad090  (366.000 240.000) (Dhii_A)"""
